*******************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC
**********************************************
$$SOE
 2015-Jul-15 00:00     06 58 45.40 +23 36 20.6
 2015-Jul-16 00:00     07 01 37.83 +23 32 39.6
 2015-Jul-17 00:00     07 04 29.95 +23 28 47.2
 2015-Jul-18 00:00     07 07 21.74 +23 24 43.5
 2015-Jul-19 00:00     07 10 13.20 +23 20 28.7
 2015-Jul-20 00:00     07 13 04.32 +23 16 02.7
 2015-Jul-21 00:00     07 15 55.09 +23 11 25.7
 2015-Jul-22 00:00     07 18 45.51 +23 06 37.7
 2015-Jul-23 00:00     07 21 35.56 +23 01 38.9
 2015-Jul-24 00:00     07 24 25.26 +22 56 29.4
 2015-Jul-25 00:00     07 27 14.58 +22 51 09.1
 2015-Jul-26 00:00     07 30 03.53 +22 45 38.3
 2015-Jul-27 00:00     07 32 52.10 +22 39 57.0
 2015-Jul-28 00:00     07 35 40.29 +22 34 05.3
 2015-Jul-29 00:00     07 38 28.09 +22 28 03.3
 2015-Jul-30 00:00     07 41 15.51 +22 21 51.0
 2015-Jul-31 00:00     07 44 02.54 +22 15 28.7
 2015-Aug-01 00:00     07 46 49.18 +22 08 56.3
 2015-Aug-02 00:00     07 49 35.43 +22 02 14.0
 2015-Aug-03 00:00     07 52 21.28 +21 55 21.8
 2015-Aug-04 00:00     07 55 06.75 +21 48 20.0
 2015-Aug-05 00:00     07 57 51.82 +21 41 08.5
 2015-Aug-06 00:00     08 00 36.49 +21 33 47.4
 2015-Aug-07 00:00     08 03 20.77 +21 26 17.0
 2015-Aug-08 00:00     08 06 04.64 +21 18 37.2
 2015-Aug-09 00:00     08 08 48.11 +21 10 48.2
 2015-Aug-10 00:00     08 11 31.17 +21 02 50.1
 2015-Aug-11 00:00     08 14 13.82 +20 54 43.0
 2015-Aug-12 00:00     08 16 56.06 +20 46 27.1
 2015-Aug-13 00:00     08 19 37.88 +20 38 02.4
 2015-Aug-14 00:00     08 22 19.28 +20 29 29.0
 2015-Aug-15 00:00     08 25 00.26 +20 20 47.1
 2015-Aug-16 00:00     08 27 40.81 +20 11 56.8
 2015-Aug-17 00:00     08 30 20.94 +20 02 58.2
 2015-Aug-18 00:00     08 33 00.65 +19 53 51.3
 2015-Aug-19 00:00     08 35 39.92 +19 44 36.4
 2015-Aug-20 00:00     08 38 18.76 +19 35 13.5
 2015-Aug-21 00:00     08 40 57.18 +19 25 42.7
 2015-Aug-22 00:00     08 43 35.16 +19 16 04.2
 2015-Aug-23 00:00     08 46 12.72 +19 06 18.0
 2015-Aug-24 00:00     08 48 49.85 +18 56 24.2
 2015-Aug-25 00:00     08 51 26.54 +18 46 23.1
